Article,Searches,Social_References
N196,165,124
O197,195,98
P198,211,158
Q199,107,54
R200,19,10
S201,293,220
T202,136,34
U203,81,20
V204,159,40
W205,205,51
X206,180,90
Y207,92,46
Z208,211,106
A209,57,14
B210,159,80
C211,41,31
D212,22,11
E213,66,50
F214,176,88
G215,142,36
H216,113,85
I217,208,156
J218,170,43
K219,221,166
L220,246,62
M221,120,30
N222,152,76
O223,85,43
P224,237,59
Q225,81,41
R226,194,49
S227,115,58
T228,154,116
U229,24,6
V230,257,193
W231,155,116
X232,98,25
Y233,166,125
Z234,47,24
A235,23,12
B236,29,22
C237,94,24
D238,172,86
E239,295,221
F240,287,72
G241,112,84
H242,122,92
I243,182,91
J244,281,70
K245,138,69
L246,96,24
M247,20,5
N248,41,21
O249,114,57
P250,254,64
Q251,177,133
R252,203,102
S253,219,55
T254,42,21
U255,158,40
V256,170,43
W257,38,29
X258,24,6
Y259,156,39
Z260,290,73
A261,70,53
B262,201,50
C263,52,39
D264,286,72
E265,113,28
F266,255,64
G267,217,163
H268,160,40
I269,24,12
J270,113,28
K271,29,7
L272,266,67
M273,210,105
N274,163,41
O275,103,52
P276,203,102
Q277,148,74
R278,198,149
S279,267,134
T280,107,27
U281,121,91
V282,111,56
W283,208,156
X284,60,15
Y285,211,106
Z286,29,7
A287,65,49
B288,96,72
C289,129,97
D290,164,123
E291,229,115
F292,86,65
G293,251,63
H294,77,19
I295,25,19
J296,50,25
K297,75,19
L298,204,153
M299,342,257
N300,317,79
O301,246,185
P302,230,58
Q303,239,179
R304,230,58
S305,46,35
T306,29,15
U307,106,53
V308,165,83
W309,117,29
X310,158,79
Y311,222,167
Z312,221,55
A313,108,27
B314,19,5
C315,143,72
D316,153,77
E317,79,20
F318,26,20
G319,26,7
H320,202,152
I321,26,7
J322,110,83
K323,21,16
L324,172,86
M325,72,18
N326,161,121
O327,232,174
P328,24,18
Q329,199,50
R330,110,28
S331,123,62
T332,276,138
U333,163,82
V334,144,36
W335,230,115
X336,51,13
Y337,22,17
Z338,107,80
A339,23,17
B340,239,120
C341,53,13
D342,247,62
E343,89,22
F344,46,35
G345,291,218
H346,237,178
I347,25,6
J348,28,7
K349,179,90
L350,57,29
M351,118,30
N352,235,176
O353,86,65
P354,63,32
Q355,97,49
R356,103,52
S357,29,15
T358,48,12
U359,87,22
V360,41,31
W361,153,38
X362,46,12
Y363,115,58
Z364,284,213
A365,211,106
B366,104,78
C367,129,65
D368,58,15
E369,272,136
F370,144,36
G371,85,64
H372,69,35
I373,284,142
J374,28,14
K375,198,149
L376,190,48
M377,55,28
N378,181,91
O379,19,14
P380,181,45
Q381,102,26
R382,176,44
S383,22,17
T384,118,59
U385,151,76
V386,206,52
W387,186,140
X388,130,98
Y389,83,42
Z390,241,121
A391,285,71
B392,2776,2082
C393,25,19
D394,77,39
E395,130,33
F396,162,81
G397,55,28
H398,44,22
I399,20,15
J400,53,40
K401,24,18
L402,19,10
M403,230,58
N404,101,76
O405,116,87
P406,109,27
Q407,74,19
R408,83,42
S409,99,50
T410,255,64
U411,232,174
V412,63,16
W413,42,11
X414,169,127
Y415,42,21
Z416,111,56
A417,254,64
B418,314,79
C419,78,59
D420,178,45
E421,50,13
F422,259,194
G423,289,72
H424,152,114
I425,240,60
J426,148,74
K427,73,37
L428,90,68
M429,54,14
N430,97,24
O431,199,149
P432,137,103
Q433,236,118
R434,190,95
S435,140,70
T436,86,43
U437,271,203
V438,59,30
W439,255,64
X440,300,75
Y441,24,18
Z442,173,130
A443,22,17
B444,184,92
C445,24,18
D446,152,38
E447,20,5
F448,136,34
G449,41,21
H450,85,21
I451,110,55
J452,121,30
K453,212,53
L454,40,10
M455,220,165
N456,270,68
O457,58,44
P458,157,79
Q459,162,122
R460,58,15
S461,54,14
T462,72,18
U463,123,31
V464,88,22
W465,137,103
X466,281,211
Y467,77,39
Z468,137,69
A469,224,168
B470,130,65
C471,222,167
D472,111,83
E473,174,44
F474,185,93
G475,104,52
H476,197,148
I477,49,12
J478,20,5
K479,111,56
L480,69,17
M481,154,116
N482,131,98
O483,219,164
P484,253,190
Q485,161,121
R486,19,5
S487,95,48
T488,245,61
U489,144,72
V490,96,72
W491,250,188
X492,83,21
Y493,115,58
Z494,142,36
A495,98,74
B496,117,59
C497,284,142
D498,242,121
E499,102,51
F500,170,43
G501,29,22
H502,58,15
I503,84,63
J504,66,33
K505,221,111
L506,26,13
M507,250,63
N508,124,31
O509,144,72
P510,124,31
Q511,29,7
R512,115,86
S513,111,83
T514,68,51
U515,76,38
V516,238,179
W517,41,10
X518,52,39
Y519,89,67
Z520,228,171
A521,235,118
B522,146,110
C523,26,20
D524,183,137
E525,175,131
F526,22,6
G527,43,32
H528,94,24
I529,103,26
J530,142,107
K531,69,17
L532,102,26
M533,47,12
N534,208,156
O535,297,149
P536,49,12
Q537,117,29
R538,72,36
S539,256,192
T540,225,113
U541,117,29
V542,224,56
W543,200,100
X544,182,46
Y545,65,49
Z546,43,11
A547,39,20
B548,189,95
C549,208,156
D550,66,17
E551,283,71
F552,115,58
G553,248,124
H554,95,24
I555,58,29
J556,220,110
K557,23,6
L558,313,157
M559,279,70
N560,138,35
O561,149,112
P562,312,234
Q563,49,37
R564,242,121
S565,266,200
T566,256,128
U567,255,64
V568,78,59
W569,272,136
X570,116,58
Y571,64,48
Z572,144,36
A573,269,67
B574,191,143
C575,80,20
D576,215,54
E577,226,113
F578,2089,1567
G579,54,14
H580,253,127
I581,200,100
J582,202,152
K583,29,22
L584,109,55
M585,29,15
N586,250,188
O587,153,77
P588,93,47
Q589,119,89
R590,200,50
S591,165,41
T592,86,65
U593,270,203
V594,83,42
W595,54,14
X596,103,52
Y597,67,50
Z598,64,16
A599,198,99
B600,112,28
C601,45,11
D602,65,33
E603,163,82
F604,84,42
G605,215,161
H606,124,93
I607,147,74
J608,139,35
K609,148,111
L610,48,24
M611,70,35
N612,136,68
O613,71,36
P614,83,62
Q615,163,122
R616,28,14
S617,214,54
T618,175,88
U619,167,84
V620,24,6
W621,238,60
X622,47,12
Y623,223,112
Z624,19,5
A625,129,97
B626,107,54
C627,212,159
D628,146,37
E629,41,31
F630,162,81
G631,172,43
H632,309,155
I633,165,41
J634,165,124
K635,105,79
L636,252,63
M637,138,104
N638,27,14
O639,267,134
P640,27,14
Q641,159,80
R642,120,60
S643,193,145
T644,271,68
U645,57,29
V646,226,170
W647,65,16
X648,153,115
Y649,164,123
Z650,77,19
A651,126,32
B652,122,31
C653,111,56
D654,174,87
E655,188,141
F656,136,102
G657,40,20
H658,51,26
I659,163,122
J660,25,13
K661,46,35
L662,42,32
M663,223,112
N664,210,105
O665,151,38
P666,141,35
Q667,84,21
R668,170,43
S669,156,78
T670,190,48
U671,289,217
V672,70,35
W673,50,38
X674,305,76
Y675,81,61
Z676,213,107
A677,116,58
B678,70,18
C679,61,31
D680,207,104
E681,56,28
F682,80,60
G683,232,174
H684,226,170
I685,213,53
J686,185,139
K687,201,151
L688,207,104
M689,203,51
N690,84,21
O691,25,13
P692,126,32
Q693,145,36
R694,230,58
S695,153,38
T696,201,101
U697,193,97
V698,340,255
W699,335,168
X700,220,55
Y701,229,115
Z702,183,46
A703,96,24
B704,241,121
C705,289,217
D706,240,120
E707,40,30
F708,55,41
G709,225,169
H710,175,131
I711,85,43
J712,104,78
K713,204,153
L714,259,65
M715,220,55
N716,91,46
O717,26,20
P718,84,63
Q719,52,39
R720,68,34
S721,238,179
T722,46,23
U723,110,83
V724,197,99
W725,201,101
X726,23,6
Y727,134,34
Z728,77,39
A729,306,77
B730,184,138
C731,257,129
D732,250,63
E733,280,140
F734,195,98
G735,168,126
H736,69,35
I737,208,52
J738,215,161
K739,254,127
L740,166,42
M741,29,7
N742,19,5
O743,182,46
P744,58,44
Q745,49,37
R746,150,113
S747,25,13
T748,51,13
U749,165,41
V750,112,28
W751,57,43
X752,254,191
Y753,140,105
Z754,79,59
A755,180,135
B756,251,63
C757,257,193
D758,224,56
E759,130,65
F760,223,112
G761,86,65
H762,26,20
I763,144,108
J764,260,65
K765,186,140
L766,117,29
M767,225,113
N768,25,19
O769,22,11
P770,83,42
Q771,165,83
R772,167,84
S773,167,125
T774,52,26
U775,116,87
V776,58,29
W777,216,108
X778,133,33
Y779,23,12
Z780,58,44
A781,190,143
B782,201,50
C783,22,6
D784,97,49
E785,207,52
F786,189,95
G787,183,92
H788,114,29
I789,105,79
J790,231,116
K791,149,37
L792,19,10
M793,259,194
N794,202,101
O795,217,109
P796,229,57
Q797,177,44
R798,172,43
S799,245,61
T800,20,15
U801,149,37
V802,262,197
W803,250,63
X804,43,11
Y805,154,77
Z806,25,19
A807,115,86
B808,24,6
C809,241,181
D810,222,111
E811,146,73
F812,2568,1284
G813,182,46
H814,60,15
I815,274,206
J816,95,71
K817,228,114
L818,255,191
M819,53,40
N820,200,150
O821,105,53
P822,122,31
Q823,127,64
R824,226,57
S825,79,40
T826,27,14
U827,247,124
V828,240,180
W829,217,109
X830,274,206
Y831,28,14
Z832,213,107
A833,197,49
B834,72,36
C835,235,59
D836,189,142
E837,42,32
F838,167,125
G839,27,20
H840,89,22
I841,123,92
J842,221,166
K843,73,37
L844,203,102
M845,231,58
N846,85,21
O847,218,55
P848,78,20
Q849,46,12
R850,21,5
S851,315,79
T852,226,57
U853,42,11
V854,133,33
W855,89,67
X856,145,109
Y857,144,36
Z858,71,36
A859,135,101
B860,223,167
C861,93,70
D862,269,135
E863,166,125
F864,141,35
G865,231,173
H866,102,77
I867,255,64
J868,136,68
K869,262,197
L870,283,71
M871,46,12
N872,23,6
O873,296,148
P874,190,48
Q875,266,200
R876,101,51
S877,144,108
T878,77,39
U879,145,73
V880,25,13
W881,219,164
X882,102,77
Y883,244,183
Z884,166,42
A885,40,20
B886,217,163
C887,197,99
D888,138,35
E889,129,65
F890,228,114
G891,110,83
H892,110,28
I893,22,11
J894,112,28
K895,135,34
L896,135,101
M897,20,10
N898,112,56
O899,190,95
P900,233,58
Q901,189,47
R902,74,37
S903,249,62
T904,27,20
U905,76,38
V906,50,25
W907,213,107
X908,44,22
Y909,64,32
Z910,153,115
A911,236,59
B912,210,158
C913,111,28
D914,28,14
E915,135,68
F916,143,72
G917,115,86
H918,259,130
I919,248,124
J920,160,120
K921,43,22
L922,175,44
M923,51,13
N924,185,139
O925,138,69
P926,74,19
Q927,192,144
R928,57,14
S929,231,116
T930,168,126
U931,123,92
V932,137,103
W933,120,90
X934,57,14
Y935,290,73
Z936,248,186
A937,66,17
B938,191,48
C939,227,170
D940,47,12
E941,191,48
F942,144,108
G943,122,92
H944,240,60
I945,256,128
J946,157,79
K947,73,18
L948,20,10
M949,45,34
N950,73,55
O951,163,122
P952,45,34
Q953,27,20
R954,197,49
S955,78,39
T956,316,237
U957,28,14
V958,220,55
W959,29,15
X960,123,92
Y961,171,43
Z962,116,58
A963,77,39
B964,24,18
C965,92,69
D966,264,132
E967,63,47
F968,271,203
G969,60,45
H970,108,54
I971,113,57
J972,318,80
K973,57,43
L974,26,7
M975,229,57
N976,235,59
O977,317,159
P978,21,11
Q979,55,41
R980,301,226
S981,135,68
T982,136,102
U983,133,67
V984,144,72
W985,254,64
X986,38,10
Y987,208,104
Z988,170,43
A989,280,140
B990,157,118
C991,168,42
D992,182,91
E993,41,31
F994,226,57
G995,84,63
H996,253,127
I997,175,131
J998,239,60
K999,232,116
L1000,136,102
M1001,44,33
N1002,167,125
O1003,157,39
P1004,222,56
Q1005,29,7
R1006,176,132
S1007,80,40
T1008,202,152
U1009,258,65
V1010,241,121
W1011,60,45
X1012,111,83
Y1013,202,101
Z1014,63,32
A1015,170,43
B1016,97,49
C1017,145,73
D1018,133,67
E1019,161,121
F1020,161,81
G1021,157,39
H1022,343,172
I1023,152,76
J1024,48,24
K1025,195,49
L1026,52,13
M1027,26,20
N1028,251,126
O1029,47,12
P1030,57,29
Q1031,277,139
R1032,96,24
S1033,186,47
T1034,112,28
U1035,214,161
V1036,95,24
W1037,289,72
X1038,121,30
Y1039,316,158
Z1040,243,61
A1041,19,10
B1042,4063,2032
C1043,58,15
D1044,238,119
E1045,174,131
F1046,129,97
G1047,220,55
H1048,62,31
I1049,246,123
J1050,113,57
K1051,197,49
L1052,243,122
M1053,132,33
N1054,191,96
O1055,277,139
P1056,279,70
Q1057,247,124
R1058,27,14
S1059,189,95
T1060,209,105
U1061,67,17
V1062,212,53
W1063,241,181
X1064,38,19
Y1065,19,10
Z1066,288,216
A1067,163,82
B1068,39,10
C1069,238,179
D1070,142,107
E1071,203,152
F1072,74,37
G1073,217,109
H1074,120,90
I1075,319,160
J1076,76,57
K1077,281,141
L1078,86,43
M1079,121,30
N1080,329,82
O1081,223,167
P1082,119,30
Q1083,78,39
R1084,229,57
S1085,27,14
T1086,47,12
U1087,125,94
V1088,145,36
W1089,120,30
X1090,100,75
Y1091,210,105
Z1092,29,22
A1093,87,65
B1094,20,15
C1095,143,107
D1096,103,52
E1097,147,37
F1098,74,37
G1099,252,126
H1100,285,143
I1101,121,61
J1102,196,49
K1103,155,39
L1104,286,143
M1105,21,16
N1106,159,80
O1107,47,24
P1108,143,72
Q1109,171,128
R1110,78,39
S1111,23,12
T1112,285,143
U1113,82,21
V1114,29,22
W1115,137,34
X1116,155,39
Y1117,223,112
Z1118,104,78
A1119,227,57
B1120,201,50
C1121,202,101
D1122,246,62
E1123,62,16
F1124,168,126
G1125,230,115
H1126,52,13
I1127,157,39
J1128,29,15
K1129,84,42
L1130,98,49
M1131,69,52
N1132,158,79
O1133,201,50
P1134,244,61
Q1135,55,28
R1136,164,82
S1137,172,86
T1138,195,146
U1139,77,39
V1140,169,85
W1141,222,111
X1142,166,125
Y1143,191,96
Z1144,243,182
A1145,277,208
B1146,128,64
C1147,152,76
D1148,116,29
E1149,41,10
F1150,233,117
G1151,119,60
H1152,269,67
I1153,179,45
J1154,124,31
K1155,214,54
L1156,318,239
M1157,261,131
N1158,163,122
O1159,272,68
P1160,168,126
Q1161,63,16
R1162,233,175
S1163,19,5
T1164,81,61
U1165,117,29
V1166,303,227
W1167,231,58
X1168,42,11
Y1169,243,61
Z1170,130,33
A1171,207,155
B1172,305,229
C1173,299,150
D1174,161,81
E1175,175,88
F1176,111,28
G1177,157,79
H1178,64,16
I1179,218,109
J1180,199,100
K1181,66,33
L1182,214,161
M1183,123,92
N1184,80,20
O1185,60,30
P1186,75,38
Q1187,237,59
R1188,72,36
S1189,152,76
T1190,171,43
U1191,115,86
V1192,318,159
W1193,97,49
X1194,169,42
Y1195,227,170
Z1196,237,119
A1197,131,66
B1198,106,27
C1199,115,86
D1200,98,25
E1201,206,52
F1202,38,19
G1203,194,146
H1204,176,132
I1205,271,136
J1206,115,29
K1207,25,13
L1208,135,68
M1209,290,73
N1210,184,138
O1211,120,90
P1212,134,34
Q1213,63,32
R1214,28,7
S1215,213,107
T1216,106,53
U1217,249,62
V1218,274,137
W1219,219,110
X1220,159,40
Y1221,235,176
Z1222,285,214
A1223,161,121
B1224,210,105
C1225,119,60
D1226,115,86
E1227,201,151
F1228,127,64
G1229,246,62
H1230,205,51
I1231,60,30
J1232,150,38
K1233,77,39
L1234,88,22
M1235,158,119
N1236,51,13
O1237,29,22
P1238,203,51
Q1239,20,5
R1240,174,87
S1241,109,27
T1242,314,157
U1243,80,60
V1244,39,10
W1245,78,20
X1246,41,31
Y1247,98,49
Z1248,116,87
A1249,109,27
B1250,148,111
C1251,75,19
D1252,155,39
E1253,137,34
F1254,271,203
G1255,100,25
H1256,89,45
I1257,137,69
J1258,104,52
K1259,251,188
L1260,202,152
M1261,99,74
N1262,215,161
O1263,300,225
P1264,84,63
Q1265,139,35
R1266,198,50
S1267,38,29
T1268,180,45
U1269,179,134
V1270,25,13
W1271,152,38
X1272,276,207
Y1273,74,56
Z1274,168,84
A1275,203,102
B1276,158,40
C1277,140,35
D1278,142,71
E1279,85,21
F1280,107,27
G1281,25,13
H1282,100,75
I1283,111,28
J1284,192,48
K1285,217,54
L1286,270,68
M1287,38,19
N1288,22,6
O1289,54,14
P1290,136,102
Q1291,38,19
R1292,75,19
S1293,187,94
T1294,110,83
U1295,87,22
V1296,22,11
W1297,153,77
X1298,133,100
Y1299,156,39
Z1300,148,111
A1301,307,77
B1302,50,38
C1303,185,46
D1304,251,126
E1305,87,44
F1306,99,74
G1307,173,87
H1308,103,52
I1309,167,42
J1310,256,192
K1311,287,72
L1312,142,71
M1313,251,63
N1314,29,7
O1315,130,98
P1316,72,18
Q1317,69,17
R1318,196,98
S1319,123,62
T1320,194,97
U1321,186,93
V1322,219,164
W1323,108,81
X1324,83,62
Y1325,45,23
Z1326,75,56
A1327,265,199
B1328,119,60
C1329,244,61
D1330,103,26
E1331,230,173
F1332,101,76
G1333,150,38
H1334,263,132
I1335,185,46
J1336,96,24
K1337,88,66
L1338,184,138
M1339,111,83
N1340,63,32
O1341,116,58
P1342,225,113
Q1343,62,31
R1344,96,24
S1345,214,161
T1346,257,193
U1347,187,47
V1348,117,29
W1349,23,17
X1350,301,226
Y1351,57,14
Z1352,57,14
A1353,189,95
B1354,252,126
C1355,171,86
D1356,102,26
E1357,265,133
F1358,244,122
G1359,139,35
H1360,86,65
I1361,290,218
J1362,79,40
K1363,39,29
L1364,171,43
M1365,26,7
N1366,125,63
O1367,168,84
P1368,21,11
Q1369,82,41
R1370,97,49
S1371,142,36
T1372,45,34
U1373,83,42
V1374,218,164
W1375,102,26
X1376,219,164
Y1377,179,134
Z1378,249,125
A1379,78,59
B1380,195,98
C1381,78,20
D1382,58,44
E1383,248,62
F1384,64,32
G1385,110,28
H1386,168,84
I1387,54,14
J1388,113,28
K1389,26,7
L1390,25,13
M1391,210,53
N1392,70,35
O1393,155,39
P1394,86,65
Q1395,80,60
R1396,179,90
S1397,252,189
T1398,216,162
U1399,93,23
V1400,199,100
W1401,234,117
X1402,89,45
Y1403,242,182
Z1404,199,149
A1405,55,14
B1406,241,60
C1407,279,209
D1408,52,13
E1409,192,144
F1410,300,75
G1411,65,49
H1412,218,164
I1413,92,23
J1414,125,31
K1415,110,55
L1416,228,171
M1417,172,43
N1418,238,119
O1419,22,6
P1420,217,163
Q1421,271,136
R1422,113,57
S1423,282,71
T1424,133,100
U1425,104,26
V1426,208,52
W1427,19,5
X1428,19,14
Y1429,50,13
Z1430,238,179
A1431,318,159
B1432,29,7
C1433,90,68
D1434,5494,549
E1435,114,11
F1436,220,22
G1437,94,28
H1438,134,40
I1439,41,4
J1440,231,23
K1441,47,9
L1442,275,55
M1443,180,36
N1444,162,32
O1445,90,27
P1446,56,6
Q1447,20,2
R1448,101,20
S1449,183,37
T1450,249,75
U1451,190,38
V1452,211,63
W1453,220,44
X1454,172,17
Y1455,86,17
Z1456,190,57
A1457,277,28
B1458,196,20
C1459,186,56
D1460,296,59
E1461,220,22
F1462,247,25
G1463,163,33
H1464,51,10
I1465,109,11
J1466,89,9
K1467,23,7
L1468,84,17
M1469,55,17
N1470,77,15
O1471,155,16
P1472,53,5
Q1473,106,32
R1474,213,64
S1475,188,19
T1476,145,44
U1477,222,22
V1478,82,8
W1479,84,17
X1480,92,9
Y1481,59,12
Z1482,213,64
A1483,105,32
B1484,24,5
C1485,306,92
D1486,274,27
E1487,40,8
F1488,23,5
G1489,41,8
H1490,99,20
I1491,100,30
J1492,99,20
K1493,238,48
L1494,128,26
M1495,28,8
N1496,186,56
O1497,23,7
P1498,22,4
Q1499,132,26
R1500,217,22
S1501,278,83
T1502,21,2
U1503,84,8
V1504,184,37
W1505,122,37
X1506,107,11
Y1507,188,56
Z1508,163,49
A1509,82,25
B1510,97,19
C1511,287,57
D1512,258,26
E1513,53,11
F1514,257,26
G1515,87,26
H1516,180,54
I1517,114,34
J1518,64,6
K1519,113,23
L1520,256,26
M1521,71,7
N1522,231,23
O1523,112,34
P1524,218,22
Q1525,243,73
R1526,126,25
S1527,23,7
T1528,183,18
U1529,219,22
V1530,29,6
W1531,145,44
X1532,280,56
Y1533,88,9
Z1534,198,40
A1535,243,24
B1536,41,8
C1537,52,10
D1538,67,20
E1539,63,19
F1540,45,14
G1541,288,86
H1542,22,4
I1543,145,44
J1544,312,94
K1545,103,10
L1546,171,17
M1547,76,23
N1548,277,55
O1549,48,5
P1550,106,21
Q1551,132,26
R1552,131,13
S1553,226,68
T1554,29,6
U1555,184,55
V1556,229,23
W1557,29,3
X1558,88,26
Y1559,81,24
Z1560,226,23
A1561,257,51
B1562,135,27
C1563,171,34
D1564,93,19
E1565,249,75
F1566,161,48
G1567,119,24
H1568,205,41
I1569,171,17
J1570,50,5
K1571,133,27
L1572,198,40
M1573,283,28
N1574,136,27
O1575,155,47
P1576,29,3
Q1577,253,25
R1578,138,41
S1579,155,31
T1580,225,23
U1581,83,17
V1582,287,57
W1583,131,39
X1584,245,25
Y1585,194,39
Z1586,129,13
A1587,209,21
B1588,120,36
C1589,156,16
D1590,214,43
E1591,28,3
F1592,139,42
G1593,244,24
H1594,233,47
I1595,25,5
J1596,177,18
K1597,194,58
L1598,243,49
M1599,167,33
N1600,118,35
O1601,235,71
P1602,293,88
Q1603,192,38
R1604,220,44
S1605,196,20
T1606,175,35
U1607,93,19
V1608,86,9
W1609,175,35
X1610,105,21
Y1611,113,34
Z1612,233,47
A1613,150,30
B1614,290,87
C1615,76,8
D1616,20,2
E1617,47,9
F1618,112,34
G1619,21,4
H1620,96,29
I1621,253,76
J1622,226,23
K1623,231,69
L1624,1866,373
M1625,170,34
N1626,133,13
O1627,93,28
P1628,108,32
Q1629,89,9
R1630,212,21
S1631,128,26
T1632,78,16
U1633,79,16
V1634,23,2
W1635,154,31
X1636,22,4
Y1637,141,42
Z1638,310,31
A1639,219,66
B1640,20,6
C1641,45,14
D1642,43,4
E1643,145,29
F1644,119,24
G1645,231,69
H1646,101,20
I1647,100,10
J1648,190,19
K1649,270,27
L1650,133,40
M1651,252,25
N1652,112,22
O1653,234,47
P1654,243,24
Q1655,191,57
R1656,112,34
S1657,27,5
T1658,64,19
U1659,172,34
V1660,181,54
W1661,142,43
X1662,244,49
Y1663,259,78
Z1664,80,16
A1665,52,10
B1666,179,36
C1667,309,31
D1668,295,89
E1669,46,5
F1670,286,29
G1671,228,23
H1672,257,77
I1673,122,37
J1674,126,38
K1675,170,51
L1676,258,77
M1677,23,7
N1678,106,11
O1679,138,28
P1680,85,26
Q1681,75,15
R1682,232,23
S1683,166,17
T1684,117,23
U1685,264,26
V1686,233,70
W1687,178,53
X1688,69,14
Y1689,116,12
Z1690,140,14
A1691,28,8
B1692,116,23
C1693,101,20
D1694,198,40
E1695,198,59
F1696,75,15
G1697,139,14
H1698,149,30
I1699,100,30
J1700,178,53
K1701,116,23
L1702,40,12
M1703,280,56
N1704,209,21
O1705,242,48
P1706,45,9
Q1707,200,60
R1708,21,4
S1709,119,36
T1710,159,48
U1711,25,3
V1712,87,9
W1713,215,22
X1714,54,16
Y1715,198,59
Z1716,144,14
A1717,148,44
B1718,191,38
C1719,195,59
D1720,21,2
E1721,94,9
F1722,192,58
G1723,84,17
H1724,206,41
I1725,123,12
J1726,183,37
K1727,173,35
L1728,206,62
M1729,266,80
N1730,115,35
O1731,43,4
P1732,140,42
Q1733,237,71
R1734,28,8
S1735,230,69
T1736,107,32
U1737,166,33
V1738,219,22
W1739,254,76
X1740,49,15
Y1741,76,23
Z1742,138,28
A1743,88,18
B1744,41,4
C1745,272,82
D1746,27,5
E1747,20,4
F1748,78,23
G1749,162,16
H1750,213,64
I1751,123,37
J1752,118,35
K1753,199,40
L1754,239,24
M1755,184,37
N1756,1937,581
O1757,60,12
P1758,190,57
Q1759,138,28
R1760,179,54
S1761,123,37
T1762,76,23
U1763,95,10
V1764,208,21
W1765,202,40
X1766,140,28
Y1767,149,15
Z1768,21,6
A1769,106,11
B1770,162,16
C1771,216,65
D1772,211,21
E1773,109,33
F1774,155,47
G1775,86,9
H1776,38,8
I1777,247,25
J1778,158,32
K1779,171,34
L1780,178,18
M1781,143,29
N1782,187,56
O1783,64,19
P1784,55,17
Q1785,287,57
R1786,107,32
S1787,23,7
T1788,284,57
U1789,130,26
V1790,144,43
W1791,50,10
X1792,156,16
Y1793,286,57
Z1794,20,6
A1795,170,34
B1796,217,65
C1797,76,8
D1798,208,62
E1799,65,13
F1800,153,31
G1801,196,39
H1802,207,41
I1803,76,23
J1804,255,51
K1805,144,43
L1806,129,26
M1807,171,34
N1808,200,60
O1809,104,21
P1810,110,11
Q1811,159,16
R1812,23,7
S1813,254,76
T1814,162,32
U1815,197,59
V1816,195,39
W1817,298,30
X1818,144,29
Y1819,254,25
Z1820,147,44
A1821,282,56
B1822,136,41
C1823,127,25
D1824,27,3
E1825,130,39
F1826,95,10
G1827,117,12
H1828,132,13
I1829,209,42
J1830,173,17
K1831,24,2
L1832,247,49
M1833,140,14
N1834,109,22
O1835,170,34
P1836,186,37
Q1837,292,88
R1838,241,24
S1839,135,27
T1840,45,5
U1841,259,52
V1842,104,21
W1843,62,19
