Article,MATERIAL_CONTENT_CODE,PRODUCT_TYPES,BUSINESS_SEGMENTS,NRF_COLOR_CODE,MODEL,Sustainablity,MARKETING_CATEGORY
E83,AT2E,1,9752975,26,FBB23,Not Applicable,FB16
F84,DO75,44,303034,650,14267,Organic materials,147
G85,AT2Q,3,3096,1,FXI53,Primeblue nylon,FX23
H86,AT3O,1,30302,100,EGA35,Low carbon footprint,EG10
I87,DO07,66,9759756,100,DBH42,Recycled,DB24
J88,DO1T,14,3097,1,HJ041,Recycleable,HJ20
K89,M3X,199,9759756,100,EPE84,PFC free,EP3
L90,PRMU,37,8342,250,HHL57,Reegrow,HH8
M91,DO07,37,8342,308,HJ162,Not Applicable,HJ14
N92,AT26,1,3030975,100,ELY83,Recycleable,EL0
O93,TRK7,37,3099,1,DQU53,Low carbon footprint,DQ17
P94,TRK7,39,3099,22,DVB20,Not Applicable,DV12
Q95,TRK4,39,303034,650,29709,Recycled plastic,2919
R96,AT2E,1,975306,1,60476,Recycled plastic,6019
S97,AT2E,1,3095,400,FKO04,Recycled,FK18
T98,AT2O,108,9759758,1,FUH74,Not Applicable,FU9
U99,AT2E,1,3030975,100,DVH73,Organic materials,DV6
V100,AT4Y,1,3030975,1,IPZ54,Organic materials,IP1
W101,DO07,14,303034,320,HKL89,Recycled,HK0
X102,AT2F,1,9752975,1,LDR05,Reegrow,LD10
Y103,TRKR,36,3079,600,LDG94,PFC free,LD21
Z104,AT2Y,1,3092,1,GUY95,Primeblue nylon,GU17
A105,TRKR,36,3078,22,LEC70,Low carbon footprint,LE11
B106,M3X,36,9758975,100,KZH38,Recycled,KZ17
C107,AT8M,157,9759756,100,FSK68,Organic materials,FS12
D108,AT2E,1,9752975,100,HBO60,PFC free,HB24
E109,AT2X,1,3098,100,IWT31,Vegan,IW0
F110,TRKR,217,3079,342,IHQ47,PFC free,IH6
G111,AT2F,1,30308,689,EOS85,Reegrow,EO2
H112,DO07,205,975342,100,KYZ06,Vegan,KY9
I113,PR7M,39,975348,300,IKI80,Recycleable,IK11
J114,AT4T,104,9759758,100,DQU28,Recycled,DQ17
K115,AT2X,1,3095,99,FSG48,Not Applicable,FS8
L116,AT2E,1,3030975,734,GTI74,Reegrow,GT6
M117,TRK4,16,897534,442,IJM27,Recycled,IJ4
N118,TRK4,16,9758975,600,47887,Recycled,472
O119,AT2E,1,97534975,36,JJR32,Recycleable,JJ8
P120,AT2E,1,9752975,328,EPI44,Recycled,EP15
Q121,DO01,219,897530,1,JLQ04,Primeblue nylon,JL21
R122,TRFU,285,303034,1,DQZ72,Organic materials,DQ14
S123,AT30,104,9759758,33,GVD04,Not Applicable,GV14
T124,AT2E,1,97522,1,IUV48,Primeblue nylon,IU14
U125,AT2E,1,30302,1,HEZ97,Recycled,HE7
W127,AT2O,1,87975,1,IZN67,Reegrow,IZ7
X128,AT2E,1,3030975,1,FUE72,Recycleable,FU1
Y129,AT2E,1,9752975,100,IYA23,Low carbon footprint,IY13
Z130,TRRH,39,30834,100,LEZ05,PFC free,LE12
A131,AT2E,1,9752975,1,GUU17,Recycleable,GU21
B132,ATMI,1,307975,1,FXJ54,PFC free,FX5
C133,AT2E,1,975306,443,LQC56,Recycled plastic,LQ20
D134,TRK4,30,897534,415,LSZ81,Not Applicable,LS21
E135,M3X,66,975349,400,29716,Organic materials,2919
F136,TRK7,267,3079,616,LGI80,Not Applicable,LG11
G137,TRM3,217,8342,435,IB814,Recycled,IB18
H138,PRJP,21,8342,1,EPG87,Low carbon footprint,EP8
I139,AT2R,1,9752975,328,22965,Not Applicable,2224
J140,,1,97534975,741,KXO34,Not Applicable,KX13
K141,M3X,167,30307,30,IXW37,Not Applicable,IX16
L142,AT2Q,3,3096,400,IPF44,PFC free,IP25
M143,TRK4,24,97526,400,KXP42,Recycled plastic,KX2
N144,M3X,37,975348,20,DQV02,Recycleable,DQ11
O145,DO2Z,44,83430,1,FYF12,Vegan,FY14
P146,TRRH,37,975530,52,BER60,Recycled,BE21
Q147,AT2R,161,30308,610,ILC87,Primeblue nylon,IL13
R148,M3X,61,30307,997,IHL72,Organic materials,IH4
S149,AT2Y,1,30934,1,IB873,Recycled,IB21
T150,,1,30934,1,GUE96,Low carbon footprint,GU22
U151,DO07,205,3079,100,LGD30,Vegan,LG21
V152,AT2E,1,3092,1,FBB36,Not Applicable,FB23
W153,DO0S,39,97526,1,HJ836,Organic materials,HJ1
X154,TRK7,51,30305,652,LEP64,Recycled plastic,LE4
Y155,M3X,44,975348,100,FRO19,Vegan,FR16
Z156,TRK4,252,303030,400,KYW39,Recycled plastic,KY7
A157,AT3P,108,89757,400,IXR53,Low carbon footprint,IX15
B158,AT4T,104,9759758,328,FWV32,Low carbon footprint,FW6
C159,AT2E,1,30302,1,HBO74,Organic materials,HB13
D160,AT2E,1,3030975,435,71722,Primeblue nylon,7116
E161,M3X,39,9758975,1,KYQ94,PFC free,KY19
F162,AT2F,1,3030975,841,FSK57,Vegan,FS5
G163,AT2G,1,3030975,50,LKZ70,Low carbon footprint,LK9
H164,AT2E,1,3030975,1,GVO60,Reegrow,GV25
I165,AT2E,1,3030975,610,LDS02,Not Applicable,LD21
J166,TRK4,30,83430,1,IZD50,Organic materials,IZ7
K167,DO07,217,303034,308,GES14,Low carbon footprint,GE18
L168,AT2E,1,30934,56,EMX20,PFC free,EM2
M169,TRKR,216,303030,497,FYL72,Recycled,FY8
N170,AT27,1,30930,1,IWP69,Primeblue nylon,IW7
O171,TRK4,252,303030,541,BTP07,Not Applicable,BT0
P172,DO01,21,34230,100,24373,Vegan,244
Q173,TRK4,14,3097,616,HKT87,Organic materials,HK18
R174,DO07,14,303030,330,JKH17,Reegrow,JK15
S175,TRVF,39,8342,35,LAM31,Organic materials,LA16
T176,TRK4,16,89755,1,GLF24,PFC free,GL9
U177,AT4T,104,9759758,100,LDP96,Primeblue nylon,LD13
V178,TRG2,39,878,1,EBF60,PFC free,EB23
W179,M3X,44,975348,670,LGG94,Recycleable,LG8
X180,AT2E,1,30302,1,GNS10,Vegan,GN17
Y181,AT2E,1,3098,100,KZR17,Recycled,KZ19
Z182,TRUU,219,303034,304,GLU22,PFC free,GL24
A183,AT2G,1,3030975,1,KZY10,Not Applicable,KZ24
B184,DO07,274,30834,219,DUZ31,PFC free,DU22
C185,AT39,104,89757,600,IQG57,Reegrow,IQ13
D186,AT2E,1,97534975,36,LDP16,Primeblue nylon,LD16
E187,DO07,21,303034,100,JKV18,PFC free,JK5
F188,AT6B,1,30342,100,IB124,Primeblue nylon,IB24
G189,DO0S,80,30307,1,FSD54,Not Applicable,FS23
H190,TRK4,205,8342,99,GLD69,Vegan,GL11
I191,TRZR,267,303030,1,IZH64,Recycled,IZ8
J192,TRK4,216,9758975,1,ELK02,Low carbon footprint,EL24
K193,AT2X,1,30302,1,JAH03,Primeblue nylon,JA14
L194,AT2F,1,3030975,841,FSF37,Not Applicable,FS1
M195,DO07,14,303030,610,HIF08,Not Applicable,HI18
N196,DO07,39,3078,1,EOV74,Organic materials,EO6
O197,AT4T,104,89757,400,GVU15,Organic materials,GV12
P198,DO07,14,30305,400,FYP88,PFC free,FY7
Q199,TRKY,287,975534,506,FJU37,Recycled,FJ24
R200,AT2E,1,97522,1,GDP85,PFC free,GD3
S201,AT2X,1,3098,1,KYO68,Vegan,KY10
T202,TRK4,14,97526,100,DVF22,Vegan,DV12
U203,TRK4,37,975530,1,GLN16,PFC free,GL0
V204,TRHA,267,83430,689,JLV91,Organic materials,JL21
W205,AT2E,1,9752975,51,BEE52,Not Applicable,BE19
X206,M3X,36,897534,100,BTT60,Primeblue nylon,BT14
Y207,TRK7,56,303034,1,HJ629,Recycled,HJ16
Z208,AT2R,1,3030975,738,GTE38,Organic materials,GT2
A209,DO07,205,3079,100,LDP08,Primeblue nylon,LD8
B210,TRG0,14,83430,265,KYL89,Recycled plastic,KY4
C211,PRJP,39,83430,20,LDW10,Recycled plastic,LD21
D212,AT2R,1,30308,415,HJ939,Recycled plastic,HJ13
E213,M3X,55,975348,468,FSG20,Low carbon footprint,FS6
F214,TRK7,37,30305,1,DVC99,Not Applicable,DV14
G215,M3X,81,975349,1,JKX72,Vegan,JK12
H216,TREU,252,303034,51,IPF28,Recycled plastic,IP19
I217,AT2E,1,9752975,457,CFB35,Primeblue nylon,CF13
J218,TRML,21,83430,1,KYW29,Recycled plastic,KY5
K219,AT4T,104,9759758,100,CME59,Recycleable,CM1
L220,AT3K,1,3030975,100,BTO98,Organic materials,BT20
M221,AT5W,104,9759758,100,HAI34,Organic materials,HA20
N222,TRK4,37,975342,1,EFW39,Not Applicable,EF4
O223,TRK7,267,3097,343,25546,Low carbon footprint,258
P224,PRJN,29,975346,689,GLF00,Recycled plastic,GL7
Q225,M3X,205,8342,610,13656,Recycleable,132
R226,TRGL,217,8342,1,FWR50,Low carbon footprint,FW9
S227,AP9I,21,3078,1,FCG45,PFC free,FC14
T228,TRK4,216,303030,20,24518,Reegrow,2419
U229,AT4B,108,9759758,100,71847,Primeblue nylon,7124
V230,AT39,104,89757,100,EBE20,PFC free,EB24
W231,TRFU,44,9759758,1,EPH56,Recycled,EP1
X232,AT2E,1,9752975,610,LDN23,Low carbon footprint,LD14
Y233,TRKY,287,975534,1,DAI12,PFC free,DA5
Z234,AT2E,1,9752975,1,ELI90,Primeblue nylon,EL5
A235,AT2E,1,975234,1,GVW81,Vegan,GV2
B236,AT2X,1,3095,80,IWX55,Reegrow,IW13
C237,DO07,21,303030,468,28798,Vegan,2823
D238,AT2X,1,3098,1,KZY59,Recycled plastic,KZ17
E239,AT2X,1,3095,610,LDI28,Organic materials,LD12
F240,DO01,37,3097,408,IPI22,Reegrow,IP8
G241,AT34,1,30302,100,GNG94,Reegrow,GN5
H242,AT2E,1,30308,450,LQC56,Low carbon footprint,LQ12
I243,TRK7,117,303030,730,HJ075,Not Applicable,HJ2
J244,AT2E,161,3030975,409,KZU46,Organic materials,KZ25
K245,M3X,39,9758975,26,LAF02,Primeblue nylon,LA11
L246,TRK4,216,9759758,1,GVA12,Primeblue nylon,GV14
M247,TRGM,13,822,1,IYK40,PFC free,IY3
N248,TRG0,13,83430,698,KXF24,Not Applicable,KX18
O249,DO01,79,30307,210,FYQ02,Recycleable,FY15
P250,AT51,1,3030975,100,IWX05,Low carbon footprint,IW8
Q251,AT2E,1,975234,100,GDV27,Reegrow,GD15
R252,AT2E,1,975234,1,FBD54,Primeblue nylon,FB1
S253,AT2V,1,30308,530,BTA54,Reegrow,BT1
T254,DO07,14,975348,734,CFB65,Recycled,CF20
U255,TRK4,24,975346,689,IG364,Reegrow,IG18
V256,AT2G,1,30302,100,KXB37,Low carbon footprint,KX8
W257,AT2Q,3,3096,1,LKZ41,Primeblue nylon,LK24
X258,AT2E,1,97522,36,IXS33,Recycled,IX19
Y259,AT39,104,9759758,33,EBH28,Organic materials,EB23
Z260,PRR2,217,3099,400,HJ854,Recycleable,HJ12
A261,TRLN,14,975534,1,GVU26,PFC free,GV0
B262,AT2E,1,975234,662,FBD52,Low carbon footprint,FB11
C263,AT2E,1,975306,542,MAO70,Primeblue nylon,MA3
D264,TRK4,220,878,734,JAC25,Reegrow,JA16
E265,DO07,205,303030,100,GTD71,Organic materials,GT25
F266,DO5W,44,3079,690,IZG14,Low carbon footprint,IZ16
G267,TRK4,37,3097,343,JQ932,Recycled,JQ15
H268,DO3G,216,303034,1,FBR06,Organic materials,FB20
I269,AT2E,1,9752975,100,IYF61,PFC free,IY0
J270,AT2E,1,97522,36,DBC43,Recycled plastic,DB11
K271,DO07,14,30305,35,IB702,Reegrow,IB23
L272,DO07,205,8342,150,21513,Not Applicable,2111
M273,DO07,24,30345,36,28551,Organic materials,2825
N274,DO07,14,303030,1,IZH67,Not Applicable,IZ25
O275,M3X,73,975349,1,GLO29,Low carbon footprint,GL12
P276,M3X,39,897534,454,LEF77,Low carbon footprint,LE18
Q277,AT4T,104,89757,1,GSZ45,Primeblue nylon,GS18
R278,AT2R,1,97522,56,FCI76,Organic materials,FC19
S279,AT28,1,30308,677,JAC26,Recycleable,JA24
T280,TRK4,51,30305,685,IXK13,PFC free,IX0
U281,DO76,254,303034,1,HJ234,Vegan,HJ0
V282,AT2G,1,3030975,113,FZG60,Recycled plastic,FZ0
W283,AT2X,1,3095,403,KZF91,Recycleable,KZ10
X284,TRGL,217,83430,400,LED36,Primeblue nylon,LE4
Y285,PRJN,253,975346,100,DBE76,PFC free,DB11
Z286,AT2E,1,97522,100,28572,Recycled,280
A287,M3X,14,8342,100,13659,Recycled,132
B288,AT2E,1,9752975,1,HJU14,PFC free,HJ4
C289,TRK4,39,3099,400,GSZ78,Organic materials,GS16
D290,TRR8,16,9758975,1,EOZ88,Not Applicable,EO10
E291,TROU,161,3030975,1,DBB06,PFC free,DB13
F292,DO07,14,83430,100,LOX40,Recycleable,LO4
G293,M3X,39,9758975,26,FME85,Recycled plastic,FM24
H294,M3X,268,975348,1,GVU13,Not Applicable,GV3
I295,AT2E,1,97534975,600,FCB53,Reegrow,FC23
J296,AT2E,1,97522,33,23816,Not Applicable,2322
K297,TRK4,16,9758975,357,GUE16,PFC free,GU23
L298,PR4A,1,3030975,100,FYK35,Recycled,FY20
M299,DO01,37,342975,33,V1636,Primeblue nylon,V19
N300,AT61,104,9759758,400,CYW72,Vegan,CY17
O301,DO4V,36,975534,1,HFC34,Organic materials,HF13
P302,AT2Q,104,9759758,1,KNE56,Primeblue nylon,KN17
Q303,DO0S,21,8342,1,LGM81,Vegan,LG16
R304,TRK4,14,975530,308,16841,Reegrow,1625
S305,AT2E,1,9752975,36,27120,Not Applicable,279
T306,AT4Y,1,3030975,1,FJU37,Recycled plastic,FJ9
U307,DO0B,39,3078,1,HJ629,Reegrow,HJ9
V308,TRG0,14,83430,265,KYJ43,Not Applicable,KY10
W309,AT2E,1,3030975,20,BTB36,Reegrow,BT14
X310,AT2M,1,30302,423,GZQ74,Low carbon footprint,GZ2
Y311,AT2X,1,3098,471,IB106,Primeblue nylon,IB3
Z312,PRMU,267,83430,308,IOZ69,Recycleable,IO23
A313,AT2R,1,30934,689,LDT02,Recycled,LD13
B314,DO5W,44,3079,408,GNG34,Not Applicable,GN0
C315,AT2E,1,30302,1,LDE33,Primeblue nylon,LD22
D316,DO07,37,8342,308,GKN31,PFC free,GK4
E317,DO2V,44,30834,100,EBE28,Recycled plastic,EB11
F318,AT2J,163,3030975,100,HJ835,Recycled plastic,HJ11
G319,DO07,205,83430,1,LDP87,Vegan,LD23
H320,AT2E,1,30302,100,DVF22,Organic materials,DV1
I321,AP30,156,30307,100,IWW41,PFC free,IW5
J322,AT39,104,9759758,100,25177,Recycled,2515
K323,AT2Q,3,3096,1,GVP90,Not Applicable,GV12
L324,DO5W,44,3079,403,FWI44,Not Applicable,FW4
M325,AT2G,1,30302,100,JKI18,Not Applicable,JK18
N326,TRK7,56,303034,1,HJ853,PFC free,HJ12
O327,AT2E,1,97522,71,LAG64,PFC free,LA17
P328,M3X,205,83430,100,KYJ22,Organic materials,KY21
Q329,ATPE,1,3030975,1,JAC68,Recycleable,JA1
R330,TRK7,21,303034,1,GDB66,Reegrow,GD23
S331,AT2Q,104,9759758,100,IPJ06,Reegrow,IP18
T332,TRK4,15,97526,471,IPA62,PFC free,IP9
U333,TRFP,19,342975,415,KZT40,Reegrow,KZ4
V334,TRGL,217,83430,400,GIA44,Vegan,GI21
W335,TRK4,16,897530,600,IHW11,Reegrow,IH25
X336,AT2Y,1,30930,1,KYQ84,Recycled plastic,KY8
Y337,AT28,1,30930,100,DRB16,Primeblue nylon,DR12
Z338,M3X,37,975348,1,LDU40,PFC free,LD12
A339,AT2E,1,30934,1,EFZ78,Primeblue nylon,EF6
B340,AT39,104,89757,100,IYN26,Organic materials,IY6
C341,DO0S,30,30834,450,FBH04,Organic materials,FB19
D342,AT27,1,30302,100,DBE61,Not Applicable,DB16
E343,PRYF,15,975530,1,HJ629,Primeblue nylon,HJ14
F344,AT2E,1,3030975,100,FSG77,Organic materials,FS10
G345,M3X,55,975348,1,KYS88,Organic materials,KY17
H346,M3X,36,897534,100,KZF91,Primeblue nylon,KZ5
I347,AT2E,1,3092,100,WF011,Vegan,WF17
J348,TR69,1,3030975,23,FWZ77,Low carbon footprint,FW10
K349,AT2E,1,97522,100,EBH09,Vegan,EB7
L350,AT27,1,3095,100,CEY90,Vegan,CE13
M351,TRK4,39,975342,36,FRO48,Recycleable,FR8
N352,DO9I,21,83430,1,18603,Vegan,1811
O353,PRLI,14,83430,1,KYA83,Not Applicable,KY10
P354,AT2E,1,8230,824,13857,Recycleable,1325
Q355,DO07,209,3099,343,EBF42,Primeblue nylon,EB6
R356,TRMB,14,3097,1,IYG55,Primeblue nylon,IY15
S357,M3X,16,9758975,710,GHO69,Vegan,GH6
T358,AT2E,1,3030975,1,FBG85,PFC free,FB3
U359,DO1X,43,3078,1,LEP40,PFC free,LE15
V360,AT2E,1,9752975,415,GLM83,Recycleable,GL11
W361,DO0G,205,975530,100,GVP45,Not Applicable,GV5
X362,TRK7,39,3099,1,A6756,Vegan,A620
Y363,DO07,267,303030,400,IAZ12,Not Applicable,IA25
Z364,AP2Y,156,30307,35,IXR19,Recycled plastic,IX17
A365,AT2E,1,9752975,610,FCC96,Not Applicable,FC19
B366,AT29,1,3030975,100,GUG81,Low carbon footprint,GU4
C367,AT2X,1,3092,540,FRL65,Reegrow,FR10
D368,AT2R,1,3088,334,DQV83,Organic materials,DQ13
E369,AT5E,108,89757,328,GKN06,Recycled,GK12
F370,AT2E,1,30302,610,LDM19,Low carbon footprint,LD12
G371,M3X,39,897534,20,GLR43,Vegan,GL2
H372,PR7Y,212,34230,471,HHC47,PFC free,HH24
I373,DO15,66,975349,1,HKL76,Recycleable,HK16
J374,AT2O,1,3095,100,HKJ40,Reegrow,HK0
K375,AT2O,202,30930,1,IB873,Low carbon footprint,IB9
L376,M3X,14,975348,35,KYJ50,Reegrow,KY21
M377,TRK7,267,3079,100,FRO53,Vegan,FR5
N378,TRGM,13,822,1,GNS19,Low carbon footprint,GN23
O379,AT2E,1,3030975,1,IYA21,Reegrow,IY0
P380,AT2E,1,97522,1,CDR38,Recycled,CD15
Q381,TRZR,252,303030,408,HJ837,Recycled plastic,HJ5
R382,DO07,14,30305,1,IYD71,Recycled plastic,IY8
S383,DO07,14,303034,997,KYM97,PFC free,KY20
T384,TRK4,24,97526,734,KYK45,Recycleable,KY16
U385,AT3H,1,30930,688,KXV90,PFC free,KX11
V386,M3X,36,897534,415,LTA07,Recycleable,LT19
W387,TRVF,217,975348,35,GZP94,Organic materials,GZ19
X388,DO01,21,97526,471,28887,Primeblue nylon,288
Y389,DO01,37,3097,408,IYT01,Vegan,IY18
Z390,AT2E,1,3030975,328,JIW68,Organic materials,JI22
A391,TRK4,36,886,1,KYJ50,Recycleable,KY17
B392,TRVF,21,83430,1,DBH03,Reegrow,DB21
C393,DO07,14,303034,650,IYK33,Recycleable,IY23
D394,TRKY,15,975534,734,GVT66,Vegan,GV22
E395,TRFU,288,975534,400,IB703,Recycled,IB20
F396,PRR2,217,3079,22,IG199,Not Applicable,IG4
G397,PR0G,13,975530,824,IZN65,Recycled plastic,IZ9
H398,AT2O,108,9759758,1,P4904,Recycleable,P423
I399,TRUU,219,303034,304,LDG15,Reegrow,LD10
J400,AT4N,104,9759758,1,22549,Primeblue nylon,2213
K401,AT2O,1,3030975,681,22328,Vegan,226
L402,TRK4,16,975348,1,GVR36,Recycled,GV15
M403,PRJP,24,8342,1,IB120,Recycled,IB4
N404,AT2E,1,8830,334,18607,Vegan,1822
O405,TRK4,217,8342,1,DQU60,PFC free,DQ21
P406,AT2E,1,9752975,1,FBY97,Low carbon footprint,FB15
Q407,AT2B,106,89757,1,JIJ40,Recycled,JI12
R408,AT61,104,9759758,1,WF014,Vegan,WF2
S409,M3X,39,975348,1,GTF04,Reegrow,GT5
T410,PRJN,287,975346,339,DVD45,Low carbon footprint,DV11
U411,M3X,205,975348,100,JIK98,Vegan,JI13
V412,TRKT,14,3097,400,47950,Reegrow,472
W413,TRK4,16,9758975,100,KOI07,Recycled plastic,KO1
X414,AT5E,106,9759758,517,A6268,Recycled,A613
Y415,AT6W,161,3030975,100,EFJ30,Primeblue nylon,EF13
Z416,AT2E,202,3088,14,ISB10,PFC free,IS24
A417,TRG2,16,9758975,51,30190,Organic materials,3018
B418,AT2O,1,3030975,333,ENO34,Not Applicable,EN1
C419,ATW6,1,3030975,100,GUG62,Organic materials,GU25
D420,TROU,163,3030975,270,JAA14,Organic materials,JA14
E421,TRGL,39,8342,1,LEP63,Vegan,LE8
F422,AT2E,1,97522,100,GLD82,Recycled plastic,GL8
G423,AT2E,1,97534975,1,IRV31,Primeblue nylon,IR5
H424,TRK4,14,975530,400,LAI12,PFC free,LA17
I425,DO07,14,3079,408,EPI81,Recycleable,EP2
J426,AT2E,1,30934,430,KZT76,Recycled,KZ7
K427,TRK4,37,975342,36,EPC17,Recycleable,EP2
L428,M3X,205,975348,1,JJY63,PFC free,JJ2
M429,PR7M,21,975348,472,GTA16,Primeblue nylon,GT1
N430,DO8M,39,30345,1,LDV32,Not Applicable,LD20
O431,AT2E,1,9752975,486,FBA83,Low carbon footprint,FB18
P432,TRK4,15,975530,400,IB120,Vegan,IB9
Q433,TRFU,288,975534,400,DBB20,Not Applicable,DB17
R434,AT2E,1,30308,1,IB125,Reegrow,IB20
S435,M3X,205,8342,600,GVZ52,Recycled plastic,GV14
T436,PRJN,263,975346,689,IPB09,Recycleable,IP16
U437,AT2X,1,3095,99,FSD52,Organic materials,FS0
V438,TRK7,267,3079,1,A6754,Vegan,A616
W439,AT2R,1,885,400,FXJ60,Recycleable,FX4
X440,DO07,14,303034,997,GEW13,Vegan,GE11
Y441,AT2E,1,9752975,100,FXJ59,Organic materials,FX24
Z442,AT2O,108,9759758,1,GUN09,Recycled,GU17
A443,AT2F,161,3030975,743,GOI31,Not Applicable,GO9
B444,AT2Q,3,3096,100,FCI56,Organic materials,FC22
C445,TRVF,217,83430,305,FTG95,Recycled plastic,FT25
D446,AT28,1,3098,113,FKO04,Recycleable,FK23
E447,AT3N,1,30302,100,DUO33,Recycleable,DU23
F448,AT2E,1,9752975,1,DVG99,Not Applicable,DV20
G449,AT2E,1,309975,1,FCH10,Recycled,FC14
H450,AT29,163,30308,756,BSZ26,PFC free,BS17
I451,ATDD,19,342975,36,IWV96,Not Applicable,IW25
J452,TRT6,34,34230,1,FWM10,Recycleable,FW9
K453,AT2O,1,89975,100,LDV18,Vegan,LD0
